,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
767,Nifty 100,NIFTY 100,2020-02-28,11495.6,11497.9,11288.4,11316.3
768,Nifty 100,NIFTY 100,2020-02-27,11773.95,11776.1,11646.05,11746.85
769,Nifty 100,NIFTY 100,2020-02-26,11859.1,11902.15,11756.65,11790.1
770,Nifty 100,NIFTY 100,2020-02-25,12007.3,12018.45,11900.6,11917.3
771,Nifty 100,NIFTY 100,2020-02-24,12140.45,12140.45,11939.55,11957.0
772,Nifty 100,NIFTY 100,2020-02-20,12242.25,12288.9,12202.75,12211.3
773,Nifty 100,NIFTY 100,2020-02-19,12197.9,12256.2,12155.25,12248.2
774,Nifty 100,NIFTY 100,2020-02-18,12133.6,12134.45,12009.55,12098.9
775,Nifty 100,NIFTY 100,2020-02-17,12247.2,12271.7,12143.5,12152.0
776,Nifty 100,NIFTY 100,2020-02-14,12314.25,12369.4,12210.05,12230.45
777,Nifty 100,NIFTY 100,2020-02-13,12342.25,12347.1,12266.25,12301.75
778,Nifty 100,NIFTY 100,2020-02-12,12288.15,12362.0,12282.2,12327.7
779,Nifty 100,NIFTY 100,2020-02-11,12260.2,12317.7,12237.8,12246.2
780,Nifty 100,NIFTY 100,2020-02-10,12253.95,12254.95,12144.05,12185.35
781,Nifty 100,NIFTY 100,2020-02-07,12286.85,12290.15,12223.7,12249.25
782,Nifty 100,NIFTY 100,2020-02-06,12243.95,12295.2,12211.6,12273.7
783,Nifty 100,NIFTY 100,2020-02-05,12121.05,12219.95,12071.9,12212.0
784,Nifty 100,NIFTY 100,2020-02-04,11900.05,12099.35,11898.9,12091.0
785,Nifty 100,NIFTY 100,2020-02-03,11736.6,11864.3,11719.25,11820.3
786,Nifty 100,NIFTY 100,2020-02-01,12066.05,12153.85,11738.45,11768.9
787,Nifty 100,NIFTY 100,2020-01-31,12228.95,12232.5,12071.0,12086.9
788,Nifty 100,NIFTY 100,2020-01-30,12295.1,12297.3,12144.25,12165.4
789,Nifty 100,NIFTY 100,2020-01-29,12262.75,12312.6,12251.3,12276.95
790,Nifty 100,NIFTY 100,2020-01-28,12292.4,12311.0,12175.8,12203.2
791,Nifty 100,NIFTY 100,2020-01-27,12336.75,12363.15,12249.45,12262.65
792,Nifty 100,NIFTY 100,2020-01-24,12307.25,12410.8,12282.7,12386.95
793,Nifty 100,NIFTY 100,2020-01-23,12248.2,12321.4,12220.7,12312.9
794,Nifty 100,NIFTY 100,2020-01-22,12335.1,12341.1,12213.65,12230.85
795,Nifty 100,NIFTY 100,2020-01-21,12314.45,12349.4,12279.5,12287.25
796,Nifty 100,NIFTY 100,2020-01-20,12544.4,12544.4,12335.1,12343.2
797,Nifty 100,NIFTY 100,2020-01-17,12445.75,12500.95,12439.15,12471.15
798,Nifty 100,NIFTY 100,2020-01-16,12468.6,12506.4,12431.5,12470.6
799,Nifty 100,NIFTY 100,2020-01-15,12458.3,12470.35,12392.55,12458.85
800,Nifty 100,NIFTY 100,2020-01-14,12442.6,12480.45,12417.7,12468.55
801,Nifty 100,NIFTY 100,2020-01-13,12401.15,12442.55,12391.5,12436.45
802,Nifty 100,NIFTY 100,2020-01-10,12372.0,12412.95,12316.6,12359.7
803,Nifty 100,NIFTY 100,2020-01-09,12259.55,12328.25,12241.75,12319.7
804,Nifty 100,NIFTY 100,2020-01-08,12034.4,12145.0,12026.8,12131.45
805,Nifty 100,NIFTY 100,2020-01-07,12174.65,12255.75,12106.3,12154.95
806,Nifty 100,NIFTY 100,2020-01-06,12270.25,12278.25,12070.75,12090.6
807,Nifty 100,NIFTY 100,2020-01-03,12359.7,12368.6,12292.4,12328.6
808,Nifty 100,NIFTY 100,2020-01-02,12294.95,12387.65,12292.2,12380.5
809,Nifty 100,NIFTY 100,2020-01-01,12299.85,12320.75,12263.2,12279.05
810,Nifty 100,NIFTY 100,2019-12-31,12347.25,12347.25,12252.55,12267.75
811,Nifty 100,NIFTY 100,2019-12-30,12373.05,12387.3,12313.1,12354.25
812,Nifty 100,NIFTY 100,2019-12-27,12273.95,12355.65,12259.35,12344.6
813,Nifty 100,NIFTY 100,2019-12-26,12311.25,12319.55,12221.65,12229.15
814,Nifty 100,NIFTY 100,2019-12-24,12362.25,12375.0,12300.3,12312.1
815,Nifty 100,NIFTY 100,2019-12-23,12330.35,12381.4,12304.4,12354.95
816,Nifty 100,NIFTY 100,2019-12-20,12351.9,12378.8,12340.05,12363.4
817,Nifty 100,NIFTY 100,2019-12-19,12306.7,12352.65,12280.35,12343.85
