,index,Date,Open,High,Low,Close,Adj Close,Volume,prevClose,prevOpen,prevHigh,prevLow,qty_traded,trading_price,total_qty,inflow,mktval
104,1336,2015-06-08,8197.0498046875,8200.4501953125,8096.25,8109.0,8109.0,2022700.0,8186.25,8182.7998046875,8254.75,8169.10009765625,-1.0,8109.0,-7.0,8109.0,-56763.0
105,1337,2015-06-09,8092.4501953125,8122.7001953125,8067.9501953125,8087.64990234375,8087.64990234375,1956400.0,8109.0,8197.0498046875,8200.4501953125,8096.25,0.0,-0.0,-7.0,-0.0,-56613.54931640625
106,1338,2015-06-10,8091.7998046875,8213.2998046875,8091.7998046875,8187.14990234375,8187.14990234375,1902500.0,8087.64990234375,8092.4501953125,8122.7001953125,8067.9501953125,1.0,-8187.14990234375,-6.0,-8187.14990234375,-49122.8994140625
107,1339,2015-06-11,8223.2998046875,8225.900390625,8026.60009765625,8032.35009765625,8032.35009765625,2350100.0,8187.14990234375,8091.7998046875,8213.2998046875,8091.7998046875,0.0,-0.0,-6.0,-0.0,-48194.1005859375
108,1340,2015-06-12,8023.7001953125,8059.5498046875,8006.39990234375,8049.9501953125,8049.9501953125,1954800.0,8032.35009765625,8223.2998046875,8225.900390625,8026.60009765625,0.0,-0.0,-6.0,-0.0,-48299.701171875
109,1341,2015-06-15,8055.10009765625,8121.14990234375,8018.5498046875,8078.25,8078.25,1890800.0,8049.9501953125,8023.7001953125,8059.5498046875,8006.39990234375,0.0,-0.0,-6.0,-0.0,-48469.5
110,1342,2015-06-16,8072.4501953125,8128.10009765625,8021.2998046875,8114.5,8114.5,1826200.0,8078.25,8055.10009765625,8121.14990234375,8018.5498046875,-1.0,8114.5,-7.0,8114.5,-56801.5
111,1343,2015-06-17,8153.2001953125,8215.75,8122.39990234375,8172.2001953125,8172.2001953125,2179300.0,8114.5,8072.4501953125,8128.10009765625,8021.2998046875,0.0,-0.0,-7.0,-0.0,-57205.4013671875
112,1344,2015-06-18,8193.650390625,8258.9501953125,8186.5,8248.650390625,8248.650390625,2043100.0,8172.2001953125,8153.2001953125,8215.75,8122.39990234375,-1.0,8248.650390625,-8.0,8248.650390625,-65989.203125
113,1345,2015-06-19,8277.0,8324.349609375,8272.2998046875,8298.7001953125,8298.7001953125,2114100.0,8248.650390625,8193.650390625,8258.9501953125,8186.5,0.0,-0.0,-8.0,-0.0,-66389.6015625
114,1346,2015-06-22,8331.900390625,8439.099609375,8331.900390625,8427.4501953125,8427.4501953125,1936600.0,8298.7001953125,8277.0,8324.349609375,8272.2998046875,0.0,-0.0,-8.0,-0.0,-67419.6015625
115,1347,2015-06-23,8451.4501953125,8474.7998046875,8410.25,8453.400390625,8453.400390625,1930400.0,8427.4501953125,8331.900390625,8439.099609375,8331.900390625,0.0,-0.0,-8.0,-0.0,-67627.203125
116,1348,2015-06-24,8471.099609375,8488.2001953125,8407.599609375,8428.599609375,8428.599609375,2010600.0,8453.400390625,8451.4501953125,8474.7998046875,8410.25,-1.0,8428.599609375,-9.0,8428.599609375,-75857.396484375
117,1349,2015-06-25,8404.400390625,8489.2998046875,8399.4501953125,8467.25,8467.25,3084600.0,8428.599609375,8471.099609375,8488.2001953125,8407.599609375,0.0,-0.0,-9.0,-0.0,-76205.25
118,1350,2015-06-26,8460.4501953125,8475.4501953125,8406.900390625,8450.9501953125,8450.9501953125,2015200.0,8467.25,8404.400390625,8489.2998046875,8399.4501953125,0.0,-0.0,-9.0,-0.0,-76058.5517578125
119,1351,2015-06-29,8310.7001953125,8391.849609375,8262.0498046875,8382.650390625,8382.650390625,2067800.0,8450.9501953125,8460.4501953125,8475.4501953125,8406.900390625,1.0,-8382.650390625,-8.0,-8382.650390625,-67061.203125
120,1352,2015-06-30,8383.150390625,8449.2998046875,8368.650390625,8440.9501953125,8440.9501953125,2388400.0,8382.650390625,8310.7001953125,8391.849609375,8262.0498046875,0.0,-0.0,-8.0,-0.0,-67527.6015625
121,1353,2015-07-01,8452.5,8550.650390625,8447.349609375,8528.849609375,8528.849609375,2022300.0,8440.9501953125,8383.150390625,8449.2998046875,8368.650390625,0.0,-0.0,-8.0,-0.0,-68230.796875
122,1354,2015-07-02,8550.599609375,8567.599609375,8522.900390625,8536.25,8536.25,1938400.0,8528.849609375,8452.5,8550.650390625,8447.349609375,0.0,-0.0,-8.0,-0.0,-68290.0
123,1355,2015-07-03,8534.4501953125,8591.5498046875,8522.400390625,8568.9501953125,8568.9501953125,1526100.0,8536.25,8550.599609375,8567.599609375,8522.900390625,0.0,-0.0,-8.0,-0.0,-68551.6015625
124,1356,2015-07-06,8468.099609375,8618.150390625,8468.099609375,8609.7001953125,8609.7001953125,1650100.0,8568.9501953125,8534.4501953125,8591.5498046875,8522.400390625,0.0,-0.0,-8.0,-0.0,-68877.6015625
125,1357,2015-07-07,8615.650390625,8650.599609375,8575.7998046875,8606.150390625,8606.150390625,2031900.0,8609.7001953125,8468.099609375,8618.150390625,8468.099609375,0.0,-0.0,-8.0,-0.0,-68849.203125
126,1358,2015-07-08,8533.849609375,8559.599609375,8439.5,8465.0,8465.0,2901200.0,8606.150390625,8615.650390625,8650.599609375,8575.7998046875,1.0,-8465.0,-7.0,-8465.0,-59255.0
127,1359,2015-07-09,8469.349609375,8503.099609375,8427.900390625,8433.7001953125,8433.7001953125,2084000.0,8465.0,8533.849609375,8559.599609375,8439.5,0.0,-0.0,-7.0,-0.0,-59035.9013671875
128,1360,2015-07-10,8471.349609375,8483.2998046875,8417.650390625,8460.2001953125,8460.2001953125,2313300.0,8433.7001953125,8469.349609375,8503.099609375,8427.900390625,0.0,-0.0,-7.0,-0.0,-59221.4013671875
129,1361,2015-07-13,8496.7001953125,8570.0,8459.5498046875,8560.4501953125,8560.4501953125,1775500.0,8460.2001953125,8471.349609375,8483.2998046875,8417.650390625,1.0,-8560.4501953125,-6.0,-8560.4501953125,-51362.701171875
130,1362,2015-07-14,8573.650390625,8584.25,8532.7001953125,8558.5498046875,8558.5498046875,1597200.0,8560.4501953125,8496.7001953125,8570.0,8459.5498046875,0.0,-0.0,-6.0,-0.0,-51351.298828125
131,1363,2015-07-15,8569.099609375,8625.849609375,8569.099609375,8618.0498046875,8618.0498046875,1684200.0,8558.5498046875,8573.650390625,8584.25,8532.7001953125,0.0,-0.0,-6.0,-0.0,-51708.298828125
132,1364,2015-07-16,8641.75,8714.2001953125,8640.7001953125,8706.7001953125,8706.7001953125,1751800.0,8618.0498046875,8569.099609375,8625.849609375,8569.099609375,0.0,-0.0,-6.0,-0.0,-52240.201171875
133,1365,2015-07-17,8725.849609375,8740.25,8693.5,8716.0,8716.0,1723700.0,8706.7001953125,8641.75,8714.2001953125,8640.7001953125,0.0,-0.0,-6.0,-0.0,-52296.0
134,1366,2015-07-20,8730.0,8730.0,8673.849609375,8711.099609375,8711.099609375,1699500.0,8716.0,8725.849609375,8740.25,8693.5,1.0,-8711.099609375,-5.0,-8711.099609375,-43555.498046875
135,1367,2015-07-21,8713.0,8736.0,8613.0,8626.150390625,8626.150390625,2288900.0,8711.099609375,8730.0,8730.0,8673.849609375,0.0,-0.0,-5.0,-0.0,-43130.751953125
136,1368,2015-07-22,8608.75,8736.7001953125,8596.7998046875,8729.25,8729.25,1927000.0,8626.150390625,8713.0,8736.0,8613.0,0.0,-0.0,-5.0,-0.0,-43646.25
137,1369,2015-07-23,8743.849609375,8753.2998046875,8677.5498046875,8692.9501953125,8692.9501953125,1920100.0,8729.25,8608.75,8736.7001953125,8596.7998046875,0.0,-0.0,-5.0,-0.0,-43464.7509765625
138,1370,2015-07-24,8693.7001953125,8693.7001953125,8616.9501953125,8624.650390625,8624.650390625,1894800.0,8692.9501953125,8743.849609375,8753.2998046875,8677.5498046875,0.0,-0.0,-5.0,-0.0,-43123.251953125
139,1371,2015-07-27,8595.75,8595.75,8462.900390625,8470.650390625,8470.650390625,1987800.0,8624.650390625,8693.7001953125,8693.7001953125,8616.9501953125,0.0,-0.0,-5.0,-0.0,-42353.251953125
140,1372,2015-07-28,8481.849609375,8505.7001953125,8434.7001953125,8446.75,8446.75,2642100.0,8470.650390625,8595.75,8595.75,8462.900390625,0.0,-0.0,-5.0,-0.0,-42233.75
141,1373,2015-07-29,8475.25,8490.75,8452.7001953125,8485.5,8485.5,2153600.0,8446.75,8481.849609375,8505.7001953125,8434.7001953125,0.0,-0.0,-5.0,-0.0,-42427.5
142,1374,2015-07-30,8527.5498046875,8572.7998046875,8522.599609375,8535.25,8535.25,3244800.0,8485.5,8475.25,8490.75,8452.7001953125,0.0,-0.0,-5.0,-0.0,-42676.25
143,1375,2015-07-31,8568.099609375,8661.099609375,8567.5,8645.849609375,8645.849609375,3055100.0,8535.25,8527.5498046875,8572.7998046875,8522.599609375,-1.0,8645.849609375,-6.0,8645.849609375,-51875.09765625
144,1376,2015-08-03,8632.0498046875,8687.2001953125,8632.0498046875,8666.0498046875,8666.0498046875,2320500.0,8645.849609375,8568.099609375,8661.099609375,8567.5,0.0,-0.0,-6.0,-0.0,-51996.298828125
145,1377,2015-08-04,8689.7001953125,8693.7001953125,8590.599609375,8664.400390625,8664.400390625,2922600.0,8666.0498046875,8632.0498046875,8687.2001953125,8632.0498046875,0.0,-0.0,-6.0,-0.0,-51986.40234375
146,1378,2015-08-05,8699.2998046875,8745.0498046875,8699.2998046875,8720.650390625,8720.650390625,2293000.0,8664.400390625,8689.7001953125,8693.7001953125,8590.599609375,1.0,-8720.650390625,-5.0,-8720.650390625,-43603.251953125
147,1379,2015-08-06,8739.349609375,8758.5,8704.900390625,8744.5,8744.5,2199400.0,8720.650390625,8699.2998046875,8745.0498046875,8699.2998046875,0.0,-0.0,-5.0,-0.0,-43722.5
148,1380,2015-08-07,8740.150390625,8754.9501953125,8707.5,8719.099609375,8719.099609375,2199300.0,8744.5,8739.349609375,8758.5,8704.900390625,-1.0,8719.099609375,-6.0,8719.099609375,-52314.59765625
149,1381,2015-08-10,8734.849609375,8781.150390625,8662.25,8686.25,8686.25,1909400.0,8719.099609375,8740.150390625,8754.9501953125,8707.5,0.0,-0.0,-6.0,-0.0,-52117.5
150,1382,2015-08-11,8711.650390625,8711.650390625,8596.349609375,8623.7001953125,8623.7001953125,2320400.0,8686.25,8734.849609375,8781.150390625,8662.25,0.0,-0.0,-6.0,-0.0,-51742.201171875
151,1383,2015-08-12,8605.099609375,8605.099609375,8483.2998046875,8493.25,8493.25,2766100.0,8623.7001953125,8711.650390625,8711.650390625,8596.349609375,0.0,-0.0,-6.0,-0.0,-50959.5
152,1384,2015-08-13,8531.0498046875,8579.9501953125,8478.4501953125,8493.9501953125,8493.9501953125,3010400.0,8493.25,8605.099609375,8605.099609375,8483.2998046875,0.0,-0.0,-6.0,-0.0,-50963.701171875
153,1385,2015-08-14,8543.0498046875,8673.0,8521.7001953125,8661.9501953125,8661.9501953125,2581400.0,8493.9501953125,8531.0498046875,8579.9501953125,8478.4501953125,0.0,-0.0,-6.0,-0.0,-51971.701171875
154,1386,2015-08-17,8676.150390625,8678.25,8576.75,8634.5,8634.5,2709000.0,8661.9501953125,8543.0498046875,8673.0,8521.7001953125,0.0,-0.0,-6.0,-0.0,-51807.0
155,1387,2015-08-18,8667.2998046875,8687.849609375,8596.150390625,8632.099609375,8632.099609375,2317400.0,8634.5,8676.150390625,8678.25,8576.75,0.0,-0.0,-6.0,-0.0,-51792.59765625
156,1388,2015-08-19,8633.150390625,8687.400390625,8591.5,8657.7001953125,8657.7001953125,1904900.0,8632.099609375,8667.2998046875,8687.849609375,8596.150390625,0.0,-0.0,-6.0,-0.0,-51946.201171875
157,1389,2015-08-20,8638.0,8668.25,8523.2998046875,8535.099609375,8535.099609375,2667500.0,8657.7001953125,8633.150390625,8687.400390625,8591.5,0.0,-0.0,-6.0,-0.0,-51210.59765625
158,1390,2015-08-21,8464.2001953125,8484.25,8382.5498046875,8462.400390625,8462.400390625,2823700.0,8535.099609375,8638.0,8668.25,8523.2998046875,0.0,-0.0,-6.0,-0.0,-50774.40234375
159,1391,2015-08-24,8213.7998046875,8213.7998046875,7891.4501953125,7929.35009765625,7929.35009765625,4452400.0,8462.400390625,8464.2001953125,8484.25,8382.5498046875,1.0,-7929.35009765625,-5.0,-7929.35009765625,-39646.75048828125
